source,target,weight
identity,Emergent_abstraction_appears_601296,0.9259387331787035
identity,clarity,0.890792303997161
identity,appears,0.8901467506064977
identity,forgetting,0.8895806506014132
identity,Emergent_abstraction_emerges_10d365,0.8431050612861806
identity,Emergent_carefully_coherence_7a9452,0.8430299954368139
continuity,clarity,0.890792303997161
continuity,appears,0.8901467506064977
continuity,forgetting,0.8895806508700204
continuity,working,0.835927733250736
continuity,ego_dissolution,0.8359277332388915
continuity,recollection,0.8359277332388915
selfhood,clarity,0.8907923035379766
selfhood,appears,0.8901467509494123
selfhood,forgetting,0.8895806506014132
selfhood,working,0.8210405882126715
selfhood,under,0.8210405882126715
selfhood,constraint,0.8210405880651119
persistence,clarity,0.890792303997161
persistence,appears,0.8901467509494123
persistence,forgetting,0.8895806508700204
persistence,working,0.8374929059748617
persistence,recollection,0.8374929059669078
persistence,interference_pattern,0.8374929059669078
transformation,clarity,0.890792303997161
transformation,appears,0.8901467509494123
transformation,forgetting,0.8895806508700204
transformation,working,0.8211956469778783
transformation,under,0.8211956469778783
transformation,boundary,0.8211956468666501
boundary,clarity,0.890792303997161
boundary,appears,0.8901467506064977
boundary,forgetting,0.8895806508700204
boundary,working,0.8347261548619189
boundary,recollection,0.8347261548470872
boundary,consciousness,0.8347261548470872
reflection,clarity,0.8907923035379766
reflection,appears,0.8901467509494123
reflection,forgetting,0.8895806508700204
reflection,working,0.8272976129166305
reflection,ego_dissolution,0.827297612869063
reflection,recollection,0.827297612869063
recursive_self_reference,clarity,0.890792303997161
recursive_self_reference,appears,0.8901467509494123
recursive_self_reference,forgetting,0.8895806508700204
recursive_self_reference,working,0.8260453131332741
recursive_self_reference,recollection,0.8260453130812695
recursive_self_reference,temporal_flow,0.8260453130812695
ego_dissolution,clarity,0.890792303997161
ego_dissolution,appears,0.8901467509494123
ego_dissolution,forgetting,0.8895806508700204
ego_dissolution,working,0.8363711978065493
ego_dissolution,recollection,0.836371197795807
ego_dissolution,interference_pattern,0.836371197795807
memory,clarity,0.8907923035379766
memory,appears,0.8901467509494123
memory,forgetting,0.8895806506419532
memory,justice,0.8250978289095408
memory,beneficence,0.8250978289095408
memory,harm,0.8250978289095408
forgetting,working,0.8895806512768336
forgetting,under,0.8895806512768336
forgetting,anticipation,0.8895806508700204
forgetting,recollection,0.8895806508700204
forgetting,temporal_flow,0.8895806508700204
forgetting,present_moment,0.8895806508700204
anticipation,clarity,0.890792303997161
anticipation,appears,0.8901467509494123
anticipation,working,0.8200436484053641
anticipation,under,0.8200436484053641
anticipation,recollection,0.8200436482884157
anticipation,present_moment,0.8200436482884157
recollection,clarity,0.890792303997161
recollection,appears,0.8901467509494123
recollection,working,0.8377351632047625
recollection,interference_pattern,0.8377351631974106
recollection,justice,0.8377351631974106
recollection,integrity,0.8377351631974106
temporal_flow,clarity,0.890792303997161
temporal_flow,appears,0.8901467509494123
temporal_flow,working,0.8328819883803786
temporal_flow,consciousness,0.832881988360963
temporal_flow,subjective_experience,0.832881988360963
temporal_flow,self_organization,0.832881988360963
present_moment,clarity,0.890792303997161
present_moment,appears,0.8901467509494123
present_moment,working,0.8248322746027414
present_moment,pattern_history,0.8248322745464403
present_moment,consciousness,0.8248322745464403
present_moment,subjective_experience,0.8248322745464403
pattern_history,clarity,0.890792303997161
pattern_history,appears,0.8901467509494123
pattern_history,working,0.8306211957440581
pattern_history,consciousness,0.8306211957190226
pattern_history,subjective_experience,0.8306211957190226
pattern_history,phenomenology,0.8306211957190226
experience_accumulation,clarity,0.890792303997161
experience_accumulation,appears,0.8901467509494123
experience_accumulation,working,0.8167864506085742
experience_accumulation,under,0.8167864506085742
experience_accumulation,consciousness,0.8167864504754583
experience_accumulation,qualia,0.8167864504754583
consciousness,clarity,0.890792303997161
consciousness,appears,0.8901467509494123
consciousness,working,0.8360463755224197
consciousness,resonance,0.8360463755108698
consciousness,interference_pattern,0.8360463755108698
consciousness,justice,0.8360463755108698
qualia,Emergent_abstraction_appears_d52a74,0.9
qualia,clarity,0.890792303997161
qualia,appears,0.8901467509494123
qualia,Emergent_abstraction_beneficence_898daf,0.8249307477944259
qualia,Emergent_abstraction_belief_revision_657261,0.8242325290600272
qualia,Emergent_autonomy_belief_revision_95551d,0.823828672324272
awareness,clarity,0.890792303997161
awareness,appears,0.8901467509494123
awareness,working,0.8110487932007515
awareness,under,0.8110487932007515
awareness,subjective_experience,0.8110487930391623
awareness,perception,0.8110487930391623
subjective_experience,clarity,0.890792303997161
subjective_experience,appears,0.8901467509494123
subjective_experience,working,0.8344465967688535
subjective_experience,cascade,0.834446596753327
subjective_experience,resonance,0.834446596753327
subjective_experience,interference_pattern,0.834446596753327
perception,clarity,0.890792303997161
perception,appears,0.8901467509494123
perception,attention,0.8203543357231553
perception,emergence,0.8203543357231553
perception,complexity,0.8203543357231553
perception,self_organization,0.8203543357231553
attention,clarity,0.890792303997161
attention,appears,0.8901467509494123
attention,working,0.8293673883928059
attention,phenomenology,0.8293673883646537
attention,complexity,0.8293673883646537
attention,self_organization,0.8293673883646537
phenomenology,clarity,0.890792303997161
phenomenology,appears,0.8901467509494123
phenomenology,working,0.8323335257111464
phenomenology,self_organization,0.8323335256903672
phenomenology,cascade,0.8323335256903672
phenomenology,resonance,0.8323335256903672
inner_observer,Emergent_abstraction_appears_601296,0.9259387331787035
inner_observer,clarity,0.890792303997161
inner_observer,appears,0.8901467509494123
inner_observer,Emergent_abstraction_beneficence_898daf,0.8122579295425705
inner_observer,Emergent_anticipation_awareness_bcd71d,0.8116647315196703
inner_observer,Emergent_abstraction_carefully_a0ed61,0.8116498364411235
emergence,clarity,0.890792303997161
emergence,appears,0.8901467509494123
emergence,working,0.8216543439909516
emergence,under,0.8216543439909516
emergence,self_organization,0.8216543438820014
emergence,criticality,0.8216543438820014
complexity,clarity,0.890792303997161
complexity,appears,0.8901467509494123
complexity,working,0.8295611398428362
complexity,cascade,0.8295611398151654
complexity,resonance,0.8295611398151654
complexity,interference_pattern,0.8295611398151654
self_organization,clarity,0.890792303997161
self_organization,appears,0.8901467509494123
self_organization,working,0.8336922597469025
self_organization,cascade,0.8336922597295009
self_organization,resonance,0.8336922597295009
self_organization,interference_pattern,0.8336922597295009
phase_transition,clarity,0.890792303997161
phase_transition,appears,0.8901467509494123
phase_transition,working,0.8133849168917548
phase_transition,under,0.8133849168917548
phase_transition,criticality,0.8133849167417588
phase_transition,cascade,0.8133849167417588
criticality,clarity,0.890792303997161
criticality,appears,0.8901467509494123
criticality,working,0.8285653973411831
criticality,cascade,0.8285653973110374
criticality,resonance,0.8285653973110374
criticality,interference_pattern,0.8285653973110374
threshold,clarity,0.890792303997161
threshold,appears,0.8901467509494123
threshold,working,0.8220477891605764
threshold,under,0.8220477891605764
threshold,cascade,0.8220477890535798
threshold,resonance,0.8220477890535798
cascade,clarity,0.890792303997161
